Review,Rating,text_clean,text_casefoldingText,text_slangwords,text_tokenizingText,text_stopword,text_akhir,Label
boleh lah,5,boleh lah,boleh lah,boleh lah,"['boleh', 'lah']",[],,neutral
JARINGAN LU BENERIN NAPA KONAMEK,1,JARINGAN LU BENERIN NAPA KONAMEK,jaringan lu benerin napa konamek,jaringan kamu benerin kenapa konamek,"['jaringan', 'kamu', 'benerin', 'kenapa', 'konamek']","['jaringan', 'benerin', 'konamek']",jaringan benerin konamek,negative
oke lah tapih respon sif kurang cepat sih,1,oke lah tapih respon sif kurang cepat sih,oke lah tapih respon sif kurang cepat sih,oke lah tapih respon sif kurang cepat sih,"['oke', 'lah', 'tapih', 'respon', 'sif', 'kurang', 'cepat', 'sih']","['oke', 'tapih', 'respon', 'sif', 'cepat']",oke tapih respon sif cepat,positive
plis dong buat pihak konami tambahin klub fc bayern munchen lagi kok gk ada yah,5,plis dong buat pihak konami tambahin klub fc bayern munchen lagi kok gk ada yah,plis dong buat pihak konami tambahin klub fc bayern munchen lagi kok gk ada yah,tolong dong buat pihak konami tambahin klub fc bayern munchen lagi kok gk ada yah,"['tolong', 'dong', 'buat', 'pihak', 'konami', 'tambahin', 'klub', 'fc', 'bayern', 'munchen', 'lagi', 'kok', 'gk', 'ada', 'yah']","['tolong', 'konami', 'tambahin', 'klub', 'fc', 'bayern', 'munchen', 'gk', 'yah']",tolong konami tambahin klub fc bayern munchen gk yah,positive
sangat puas,5,sangat puas,sangat puas,sangat puas,"['sangat', 'puas']",['puas'],puas,positive
"makin kesini makin kaya anj , pvp udah menang sampe abis babak ke 2 tiba tiba ""anda kalah"" . kebanyakan cheat ketemunya, sinyal juga berat bgt klo pvp gk jelas",1,makin kesini makin kaya anj  pvp udah menang sampe abis babak ke  tiba tiba anda kalah  kebanyakan cheat ketemunya sinyal juga berat bgt klo pvp gk jelas,makin kesini makin kaya anj  pvp udah menang sampe abis babak ke  tiba tiba anda kalah  kebanyakan cheat ketemunya sinyal juga berat bgt klo pvp gk jelas,makin kesini makin kaya anj pvp sudah menang sampai habis babak ke tiba tiba anda kalah kebanyakan cheat ketemunya koneksi juga berat banget kalau pvp gk jelas,"['makin', 'kesini', 'makin', 'kaya', 'anj', 'pvp', 'sudah', 'menang', 'sampai', 'habis', 'babak', 'ke', 'tiba', 'tiba', 'anda', 'kalah', 'kebanyakan', 'cheat', 'ketemunya', 'koneksi', 'juga', 'berat', 'banget', 'kalau', 'pvp', 'gk', 'jelas']","['kesini', 'kaya', 'anj', 'pvp', 'menang', 'habis', 'babak', 'kalah', 'kebanyakan', 'cheat', 'ketemunya', 'koneksi', 'berat', 'banget', 'pvp', 'gk']",kesini kaya anj pvp menang habis babak kalah kebanyakan cheat ketemunya koneksi berat banget pvp gk,negative
"oke2 aja susah vs pemain2 legend... tpijngan di nerf jugala masaiya ngoper ngga sampe... mau shot lelet.. kenatiang atau mistar 3x , kiper gw jadi agak tolol",2,oke aja susah vs pemain legend tpijngan di nerf jugala masaiya ngoper ngga sampe mau shot lelet kenatiang atau mistar x  kiper gw jadi agak tolol,oke aja susah vs pemain legend tpijngan di nerf jugala masaiya ngoper ngga sampe mau shot lelet kenatiang atau mistar x  kiper gw jadi agak tolol,oke saja susah vs pemain legend tpijngan di nerf jugala masaiya ngoper tidak sampai mau shot lambat kenatiang atau mistar x kiper saya jadi agak tolol,"['oke', 'saja', 'susah', 'vs', 'pemain', 'legend', 'tpijngan', 'di', 'nerf', 'jugala', 'masaiya', 'ngoper', 'tidak', 'sampai', 'mau', 'shot', 'lambat', 'kenatiang', 'atau', 'mistar', 'x', 'kiper', 'saya', 'jadi', 'agak', 'tolol']","['oke', 'susah', 'vs', 'pemain', 'legend', 'tpijngan', 'nerf', 'jugala', 'masaiya', 'ngoper', 'shot', 'lambat', 'kenatiang', 'mistar', 'x', 'kiper', 'tolol']",oke susah vs pemain legend tpijngan nerf jugala masaiya ngoper shot lambat kenatiang mistar x kiper tolol,negative
Konami jaringan nya jelek,1,Konami jaringan nya jelek,konami jaringan nya jelek,konami jaringan nya jelek,"['konami', 'jaringan', 'nya', 'jelek']","['konami', 'jaringan', 'jelek']",konami jaringan jelek,negative
update nyaaa tolong di buat 10gb bang,5,update nyaaa tolong di buat gb bang,update nyaaa tolong di buat gb bang,update nyaaa tolong di buat gb bang,"['update', 'nyaaa', 'tolong', 'di', 'buat', 'gb', 'bang']","['update', 'nyaaa', 'tolong', 'gb', 'bang']",update nyaaa tolong gb bang,positive
Gachanya sampah,1,Gachanya sampah,gachanya sampah,gachanya sampah,"['gachanya', 'sampah']","['gachanya', 'sampah']",gachanya sampah,negative
