Review,Rating
boleh lah,5
JARINGAN LU BENERIN NAPA KONAMEK,1
oke lah tapih respon sif kurang cepat sih,1
plis dong buat pihak konami tambahin klub fc bayern munchen lagi kok gk ada yah,5
sangat puas,5
"makin kesini makin kaya anj , pvp udah menang sampe abis babak ke 2 tiba tiba ""anda kalah"" . kebanyakan cheat ketemunya, sinyal juga berat bgt klo pvp gk jelas",1
"oke2 aja susah vs pemain2 legend... tpijngan di nerf jugala masaiya ngoper ngga sampe... mau shot lelet.. kenatiang atau mistar 3x , kiper gw jadi agak tolol",2
Konami jaringan nya jelek,1
update nyaaa tolong di buat 10gb bang,5
Gachanya sampah,1
Game Stress,1
"Buruk, tidak layak dimainkan jangka lama, dan sering Bug.",1
bagus banget game nya,5
lumayan bagusss grafik enakk,5
game bego,5
"makin aneh setelah update,dan pemain epik ga ada apa apanya dgn pemain standard makin lama gak jelas game nya",1
tolong kh perbaiki game ini kok tiap mai kelua sendiri.tamba baru kali ini saya main kok lelet terus biasa nya tidak jaringan bagus saya mikirin ane game ini.suda pro main tabi bikin saya kesal bang.klu main stabil mungkin tidak dapat saya.tingal formasi nya,1
bagus uda kaya game ps,5
gg geming,5
mau main efootbal plss,5
"daripada kasih review atau masukan mending maki aja lah langsung, emang dipikir ngasih temuan di game itu akan dibaca developer game nya, lihat rating perusahaan nya di google sih udah jelas ya, gua curiga yg ngasih rating bagus di game ini cuma buzzer, sering mainin game nya gua yakin jg ngga",1
stuck tlng diperbaiki,2
seru,5
"abis update kiper jadi pajangan doang kayak fifa, buffon italy stat dewa planga plongo doang🤣",1
bikin game yang bener masa gw cuman hilang wifi 3 detik doang malah kalah karna jaringan.ngotak dikit kalo bikin game,1
bagus tapi tolong tambahkan lisensi tim nasional Indonesia 2025 nya oke,4
tambahin liga Indonesia lah,2
"game gajelas masa gw Udah Nungguin Berjam jam download datanya masih 0persen kocak banget padahal ga pake apk clone"" an",1
hapus aja game sampah ini...,1
game bola mobile paling bagus cuman kehalang lisensi aj sih,5
"sekarang ini game login aja susah, game makin rusak",2
"gimna sihh develop tolong dong di bnerin masalahnya, masa tiba2 server tidak terhubung, klo masih sekali saya maklum, ini tiap saya main divisi pasti kek gitu, jangan cuma kartu epic yg dibanyakin game nya jga tolong di bnerin lahhh",1
sering disconnected sendiri,1
"KLO ga niat kasi card pemain jgn kasi spin gratis bro,capek capek claim tapi ga ada dapat",1
sangat sangat menyenangkan,5
benerin dulu jaringannya,1
semoga terus meningkat kedepannya,5
"Koneksi internet nya stabil tapi begitu main mode online kok ngeleg server nya parah nih, game pay to win, hilangkan itu smart assist di divisi atas player yang hanya di bantu sistem, smart assist nya sudah merajalela dimana² wow mau naik divisi tidak perlu usaha cukup aktifkan smart assist benar² game setingan sistem, skill gak perlu lagi cukup sistem yang atur, konyol. Izinkan terus aja smart assist di divisi atas biar game ini makin tolol player nya",1
gua bingung sama Konami sinyal wifi kenceng batrei banyak tapi giliran main udah kayak komputer rusak gambar nya putus2 apa lagi main liga kadang gerak nya kecepatan kadang lemot ga ada lancar2 nya tolong perbaiki lagi Konami,4
masa gua downlod game nya 306 mb terus disuruh dowload data mana ngulang lagi,1
game bola terbaik di bumi ini😍😍😍,5
game tolol server gajelas sering disconect sendiri pdhl sinyal bagus,1
di update malah kaga bisa di unduh,1
jelek,1
buruk,4
pa an ngeleg trs dikit dikit pembaruan dikitfikit perbarui anjirrr. update trs dancok,1
gimana kalau download Konami ini,5
pergerakan dribble nya jadi aneh 👎,1
Sinyal makin busuk.. laga PVP kalah lawan sinyal.,1
permainan tidak adil..pay to win membosankan,1
mohon update sistem liganya biar tambah seru mainnya,4
Bagus,5
"game bola terjelek,server terburuk,sangat tidak rekomendasi",1
"lag, crash",1
tolol passing delay pdahal jaringan bgs gblk game burik apus aja,1
baru juga download afk di suruh download lagi udah gitu download Berjam jam. bukannya makin bagus makin hancur ini games gak ada perkembangan majunya,1
"Sinyal buruk, perbaiki lagi, sinyal full bar, koneksi stabil, hp mendukung, tapi tetap delay",1
"tolong dong di tambah , adakan liga 1 indonesia full team liga 1 indonesia , penantian yang di tunggu ya liga 1 indonesia , semoga saran saya di kabulkan",5
game nya bagus tapi kasih pemain gratis lagi sama jangan ngelag wae,5
"salah satu game yang bikin gua stres maininnya , balancingnya gajelas kadang"" permainan udh kyk diatur sistem, bola ke ketendang gajelas, pemain positioning jadi jelek dan lain2 sebagainya cari aja konami efootball script disosmed saya rasa teori ini benar game sampah",1
permainan nya sangat bagus dan grafik nya lumayan,5
bagus banget,5
terbaik,5
game ndk jelas yg pernah saya mainin,1
"setelah update, perpindahan kursor dari pemain satu ke pemain lain nya tambah kacau. ga jelas, makin males main",1
mantap,5
gameplay bukanya makin realistis malah kaga logik yang ngontrol pemain gw apa ai lu si berat banget gerakin pemain sesuai keinginan kek udah di setting kalah atau menang nya yang main gua apa ai lu si kalah gua sama ai,3
